# 8197a701-5b89-456b-91b9-164b907dcb33
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.6142008; 3.8275566; -3.0376127; 0.0563069; 5.5000000; 0.0000000
0.1996553; -2.5922570; 3.6291122; -3.0247790; 0.0722564; 5.5000000; 0.0000000
0.3993107; -2.5674528; 3.4310058; -3.0087573; 0.0882445; 5.5000000; 0.0000000
0.5989660; -2.5391621; 3.2333681; -2.9895382; 0.1042880; 5.5000000; 0.0000000
0.7986213; -2.5067627; 3.0363633; -2.9671087; 0.1204078; 5.5000000; 0.0000000
0.9982767; -2.4696370; 2.8401957; -2.9414510; 0.1366303; 5.5000000; 0.0000000
1.1979320; -2.4271743; 2.6451152; -2.9125416; 0.1529877; 5.5000000; 0.0000000
1.3975873; -2.3787736; 2.4514242; -2.8803496; 0.1695196; 5.5000000; 0.0000000
1.5972427; -2.3238460; 2.2594841; -2.8448356; 0.1862736; 5.5000000; 0.0000000
1.7968980; -2.2618194; 2.0697212; -2.8059498; 0.2033069; 5.5000000; 0.0000000
1.9965533; -2.1921430; 1.8826343; -2.7636297; 0.2206879; 5.5000000; -1.9089758
2.1962087; -2.1142933; 1.6988010; -2.7177983; 0.2384973; 5.4302602; -2.7604276
2.3958640; -2.0277812; 1.5188849; -2.6683606; 0.2568298; 5.3278004; -2.4950344
2.5955193; -1.9321609; 1.3436433; -2.6152015; 0.2757969; 5.2334657; -2.2142435
2.7951747; -1.8270405; 1.1739342; -2.5581813; 0.2955314; 5.1483000; -1.9059554
2.9948300; -1.7120952; 1.0107243; -2.4971317; 0.3161907; 5.0738471; -1.5538342
3.1944853; -1.5870823; 0.8550969; -2.4318493; 0.3379710; 5.0123310; -1.4628919
3.3941407; -1.4518880; 0.7082333; -2.3628455; 0.3496798; 4.9537171; -1.4388453
3.5937960; -1.3067995; 0.5711374; -2.2928417; 0.3518008; 4.8953822; -1.5901185
3.7934514; -1.1524441; 0.4445667; -2.2222551; 0.3555689; 4.8300948; -1.7265889
3.9931067; -0.9894972; 0.3292688; -2.1507454; 0.3610557; 4.7581898; -1.8481619
4.1927620; -0.8186676; 0.2260121; -2.0779653; 0.3683069; 4.6799978; -1.9561425
4.3924174; -0.6407127; 0.1355912; -2.0035552; 0.3774021; 4.5957884; -2.0517895
4.5920727; -0.4564557; 0.0588301; -1.9271358; 0.3884594; 4.5057707; -2.1363235
4.7917280; -0.2668059; -0.0034167; -1.8483001; 0.4016412; 4.4100922; -2.2109479
4.9913834; -0.0727813; -0.0502634; -1.7666021; 0.4171747; 4.3088348; -2.2765797
5.1910387; 0.1244648; -0.0807968; -1.6815447; 0.4353526; 4.2020227; -2.3342064
